영화이름,상영일시,상영 시작 시점,감독,주연배우,상영 4주 전 ~ 상영 1주 전 트위터 건,상영 1주 전 ~ 상영 전 트위터 건,누적 관객 수
"세라비, 이것이 인생!", 2018.05.30,2,올리비에르 나카체,"장 피에르 바크리,질 를르슈,수잔 클레망,장 폴 루브,빈센트 맥케인",23,15,23193
세번째 밤, 2018.02.22,6,아담 그레블리,"제시 맥긴,로버트 하트번,부르스 대니",2111,28,60
스타 이즈 본, 2018.10.09,4,브래들리 쿠퍼,"브래들리 쿠퍼,레이디 가가,샘 엘리어트,데이브 샤펠,보니 소머빌",3126,10054,434534
시카리오: 데이 오브 솔다도, 2018.06.27,3,스테파노 솔리마,"조슈 브롤린,베니시오 델 토로,이사벨라 모너,제프리 도노반,캐서린 키너",7082,1507,229542
식구, 2018.07.12,3,임영훈,"신정근,윤박,장소연,고나희,기주봉",10191,10080,3816
신 전래동화, 2018.04.25,2,이상훈,"재희,윤기원,유다미,이상훈,김덕현",24,15,36
신과함께-인과 연, 2018.08.01,3,김용화,"하정우,주지훈,김향기,마동석,김동욱",10143,10067,12274021
아일라, 2018.06.21,3,잔 울카이,"김설,이스마일 하지오글루,세틴 테킨도르,알리 아타이,자니 영",10146,8608,43612
아직 끝나지 않았다, 2018.06.21,3,자비에 르그랑,"레아 드루케,드니 메노셰,토마 지오리아,마틸드 오느뵈,마튜 사이칼리",10181,10085,12433
가디언즈 오브 갤럭시 VOL. 2, 2017.05.03,2,제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼",6123,7218,2735960
가면 무도회, 2017.03.05,2,쥬세페 베르디,"주빈 메타,표트르 베찰라,게오르게 페테안,안야 하르테로스,오카 폰 데어 담라우",10200,7248,925
가을 우체국, 2017.10.19,4,임왕태,"보아,이학주,오광록,임현식,송옥숙",8164,5793,3099
가족사진, 2017.11.03,4,무카이 무네토시,"미츠무네 카오루,타카야마 미야코,류 다이스케",10200,10085,1
간츠: 오, 2017.05.11,2,사이토 케이이치,"오노 다이스케,하야미 사오리,이치미치 마오,카지 유우키,카쿠 토모히로",3085,34,1625
강철비, 2017.12.14,1,양우석,"정우성,곽도원,김갑수,김의성,이경영",10149,10080,4452755
개구리왕국 2, 2017.03.23,2,상광희,"사문영,이경태,임주현,홍진욱,윤세웅",12,14,14236
개에게 처음 이름을 지어준 날, 2017.04.06,2,야마다 아카네,"고바야시 사토미,카미카와 타카야,아오야마 미사토,이마무라 사오리",29,14,2008
걱정말아요, 2017.01.05,1,소준문,"정지순,이시후,권기하,박정근,박명신",10200,10080,774
걸 온 더 트레인, 2017.03.09,2,테이트 테일러,"에밀리 블런트,헤일리 베넷,루크 에반스,레베카 퍼거슨,저스틴 서룩스",2079,57,29011
겟 아웃, 2017.05.17,2,조던 필레,"다니엘 칼루야,앨리슨 윌리암스,브래드리 휘트포드,캐서린 키너,릴렐 호워리",10156,10080,2138425
고려 아리랑: 천산의 디바, 2017.05.25,2,김소영,"방 타마라,이함덕",1015,1499,4014
고령가 소년 살인사건, 2017.11.23,4,에드워드 양,"장첸,양정이,장 구주,금연령,왕 주안",54,1508,9402
고스트 스토리, 2017.12.28,1,데이빗 로워리,"케이시 애플렉,루니 마라,그로버 콜슨,윌 올드햄,리즈 프랭크",3119,1532,8416
고양이 케디, 2017.09.21,5,제다 토룬,뷜렌드 우스틴,2076,5794,7172
골드, 2017.03.22,2,스티븐 개건,"매튜 맥커너히,에드가 라미레즈,브라이스 달라스 하워드,마콘 블레어,아담 르페브리",10200,10078,25612
공각기동대 : 고스트 인 더 쉘, 2017.03.29,2,루퍼트 샌더스,"스칼렛 요한슨,마이클 피트,줄리엣 비노쉬,요한 필립 애스백,기타노 다케시",2092,5800,764072
공각기동대 신극장판, 2017.04.20,2,노무라 카즈야,"사카모토 마아야,쥬쿠 잇큐,마츠다 켄이치로,신가키 타루스케",38,1463,1376
"괜찮아요, 미스터 브래드", 2017.09.21,5,마이크 화이트,"벤 스틸러,오스틴 에이브람스,제나 피셔,마이클 쉰,저메인 클레멘트",7137,2919,17747
"구름의 저편, 약속의 장소", 2017.02.28,6,신카이 마코토,"하기와라 마사토,난리 유카,요시오카 히데타카",41,26,4583
구세주: 리턴즈, 2017.09.14,5,송창용,"최성국,송삼동,김성경,정이연,김보민",24,19,6151
국정교과서 516일: 끝나지 않은 역사전쟁, 2017.11.23,4,백승우,"한홍구,박한용,김민철,이준식,하일식",23,17,502
군함도, 2017.07.26,3,류승완,"황정민,소지섭,송중기,이정현,김수안",10181,10080,6592151
"귀향, 끝나지 않은 이야기", 2017.09.14,5,조정래,"강하나,최리,박지희,서미지,홍세나",1039,37,14495
"괜찮아요, 미스터 브래드", 2017.09.21,5,마이크 화이트,"벤 스틸러,오스틴 에이브람스,제나 피셔,마이클 쉰,저메인 클레멘트",7137,2919,17747
"구름의 저편, 약속의 장소", 2017.02.28,6,신카이 마코토,"하기와라 마사토,난리 유카,요시오카 히데타카",41,26,4583
구세주: 리턴즈, 2017.09.14,5,송창용,"최성국,송삼동,김성경,정이연,김보민",24,19,6151
국정교과서 516일: 끝나지 않은 역사전쟁, 2017.11.23,4,백승우,"한홍구,박한용,김민철,이준식,하일식",23,17,502
군함도, 2017.07.26,3,류승완,"황정민,소지섭,송중기,이정현,김수안",10181,10080,6592151
"귀향, 끝나지 않은 이야기", 2017.09.14,5,조정래,"강하나,최리,박지희,서미지,홍세나",1039,37,14495
나는 아들을 사랑하지 않는다, 2017.11.30,4,아릴드 안드레센,"크리스토퍼 요너,크리스토페르 베치,엘렌 도리트 페테르센,말론 모레노,마르셀라 카르바젤",20,21,1904
나를 찾아서, 2017.04.06,2,더스틴 마르첼리노,"블레이크 레인,레이 리오타,애슐리 쥬드,아만다 크루,조 판토리아노",1091,50,49
"나의 딸, 나의 누나", 2017.03.23,2,토마스 비더게인,"프랑소아 다미앙,피네건 올드필드,아가시 드론,엘로라 토르치아,존 C. 라일리",36,17,1729
나의 붉은 고래, 2017.06.15,3,양선,"계관림,소상경,허위주,금사걸,반숙난",5122,8661,58454
"나의 사랑, 그리스", 2017.04.20,2,크리스토퍼 파파칼리아티스,"J.K. 시몬스,크리스토퍼 파파칼리아티스,안드레아 오스바트,마리아 카보이아니,타우픽 바롬",3054,1465,30181
내 아내와 결혼해 주세요, 2017.05.18,2,미야케 요시시게,"오다 유지,요시다 요,하라다 타이조,다카시마 레이코,모리 칸나",11,12,2676
"내 어깨 위 고양이, 밥", 2017.01.04,1,로저 스포티스우드,"루크 트레더웨이,루타 게드민타스,조앤 프로갯,안소니 헤드,대런 에반스",66,48,26926
내 이름은 꾸제트, 2017.03.09,2,클로드 바라스,"가스파 츨라테르,시스틴 무하,폴린 자쿠우드,미셸 빌레모,라울 리베라",42,1479,10591
내 친구 정일우, 2017.10.26,4,김동원,"정일우,전주희,신명자,김동원,김의열",52,2921,12034
내가 죽기 전에 가장 듣고 싶은 말, 2017.07.19,3,마크 펠링톤,"셜리 맥클레인,아만다 사이프리드,앤쥴 리 딕슨,토머스 새도스키,앤 헤이시",38,13,45349
내게 남은 사랑을, 2017.11.02,4,진광교,"성지루,전미선,권소현,홍석,이예원",2101,7232,27986
내일의 안녕, 2017.08.17,3,훌리오 메뎀,"페넬로페 크루즈,루이스 토사,에시어 엑센디아,테오 플라넬,알렉스 브렌데뮬",60,31,8544
너브, 2017.01.11,1,헨리 유스트,"엠마 로버츠,데이브 프랭코,에밀리 미드,마일즈 헤이저,줄리엣 루이스",83,1515,29441
너와 100번째 사랑, 2017.05.25,2,츠키카와 쇼,"사카구치 켄타로,미와,류세이 료,마노 에리나,이즈미사와 유키",54,1493,80839
너의 이름은., 2017.01.04,1,신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,나리타 료,유우키 아오이",10180,10077,3712590
너의 췌장을 먹고 싶어, 2017.10.25,4,츠키카와 쇼,"하마베 미나미,키타무라 타쿠미,키타가와 케이코,오구리 슌,오오토모 카렌",10196,10078,465545
넛잡 2, 2017.10.03,4,캘런 브런커,"윌 아넷,캐서린 헤이글,성룡,이사벨라 모너,마야 루돌프",2050,2897,411787
문라이트, 2017.02.22,6,배리 젠킨스,"알렉스 R. 히버트,에쉬튼 샌더스,트래반트 로즈,마허샬라 알리,나오미 해리스",81,186,178686
미녀와 야수, 2017.03.16,2,빌 콘돈,"엠마 왓슨,댄 스티븐스,루크 에반스,조시 게드,이완 맥그리거",3232,4216,5138330
미스 슬로운, 2017.03.29,2,존 매든,"제시카 차스테인,마크 스트롱,구구 바샤-로,알리슨 필,마이클 스털버그",125,82,48051
미옥, 2017.11.09,4,이안규,"김혜수,이선균,이희준,최무성,김민석",258,76,242737
미이라, 2017.06.06,3,알렉스 커츠만,"톰 크루즈,소피아 부텔라,애나벨 월리스,러셀 크로우,제이크 존슨",2513,3228,3689288
반드시 잡는다, 2017.11.29,4,김홍선,"백윤식,성동일,천호진,배종옥,손종학",584,290,446780
발레리나, 2017.02.09,6,에릭 섬머,"엘르 패닝,데인 드한,매디 지글러,칼리 레이 젭슨,엘라나 던클만",254,170,203293
발레리안: 천 개 행성의 도시, 2017.08.30,3,뤽 베송,"데인 드한,카라 델레바인,리아나,에단 호크,클라이브 오웬",603,458,511931
밤의 해변에서 혼자, 2017.03.23,2,홍상수,"김민희,서영화,권해효,정재영,문성근",1647,923,57110
배저로와 친구들: 신비한 모험, 2017.10.26,4,라스무스 A. 실버르센,"김기철,최한,안현서,신경선,이인석",56,20,26185
범죄도시, 2017.10.03,4,강윤성,"마동석,윤계상,조재윤,최귀화,임형준",12704,16126,6880540
베이블레이드 버스트 갓 : 갓 발키리의 탄생, 2017.06.01,3,야마구치 켄타로,"김현지,한신,김보영,이호산,김영은",103,106,109358
베이비 드라이버, 2017.09.13,5,에드가 라이트,"안셀 엘고트,케빈 스페이시,릴리 제임스,에이사 곤살레스,존 햄",971,449,823624
보스 베이비, 2017.05.03,2,톰 맥그라스,"알렉 볼드윈,스티브 부세미,토비 맥과이어,마일즈 크리스토퍼 박시,지미 키멜",3132,1234,2452245
보안관, 2017.05.03,2,김형주,"이성민,조진웅,김성균,김종수,조우진",3640,1428,2588628
보통사람, 2017.03.23,2,김봉한,"손현주,장혁,김상호,조달환,지승현",1195,2531,383336
부니베어:로거빅 컴백홈 프로젝트, 2017.06.29,3,정량,"박상훈,홍진욱,윤세웅,임채헌",42,26,25908
부라더, 2017.11.02,4,장유정,"마동석,이동휘,이하늬,송영창,조우진",1831,3538,1492903
분노의 질주: 더 익스트림, 2017.04.12,2,F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,미셸 로드리게즈",13974,23904,3653238
불한당: 나쁜 놈들의 세상, 2017.05.17,2,변성현,"설경구,임시완,김희원,전혜진,이경영",1195,412,954190
뷰티풀 투모로우, 2017.10.26,4,장재혁,"박효신,정재일",66,21,63279
브이아이피, 2017.08.23,3,박훈정,"장동건,김명민,박희순,이종석,피터 스토메어",16226,8147,1373342
블레이드 러너 2049, 2017.10.12,4,드니 빌뇌브,"라이언 고슬링,해리슨 포드,아나 디 아르마스,실비아 획스,자레드 레토",6450,4461,322664
비밀의 숲, 2017.06.10,3,안길호,"조승우,배두나,이준혁,이경영,신혜선",240,425,479124
비정규직 특수요원, 2017.03.16,2,김덕수,"강예원,한채아,조재윤,곽자형,김민교",19,107,149693
나를 차버린 스파이, 2018.08.22,3,수잔나 포겔,"밀라 쿠니스,케이트 맥키넌,샘 휴건,저스틴 서룩스,질리언 앤더슨",128,246,264766
나미야 잡화점의 기적, 2018.02.28,6,히로키 류이치,"야마다 료스케,니시다 토시유키,무라카미 니지로,칸이치로,하야시 켄토",474,473,192603
나츠메 우인장: 세상과 연을 맺다, 2018.10.31,4,오오모리 타카히로,"카미야 히로시,이노우에 카즈히코,코바야시 사나에,시마모토 스미,코라 켄고",28,16,25611
너의 결혼식, 2018.08.22,3,이석근,"박보영,김영광,강기영,고규필,장성범",454,566,2820585
다운사이징, 2018.01.11,1,알렉산더 페인,"맷 데이먼,크리스토프 왈츠,홍 차우,크리스틴 위그,제이슨 서디키스",177,37,150346
다키스트 아워, 2018.01.17,1,조 라이트,"게리 올드만,크리스틴 스콧 토마스,릴리 제임스,벤 멘델슨,스티븐 딜레인",5446,5613,162704
달링, 2018.04.12,2,앤디 서키스,"앤드류 가필드,클레어 포이,톰 홀랜더,휴 보네빌,스테판 망간",17,25,28217
당갈, 2018.04.25,2,니테쉬 티와리,"아미르 칸,파티마 사나 셰이크,산야 말호트라,사크시 탄와르,기리시 쿨카니",98,48,109441
더 넌, 2018.09.19,5,코린 하디,"타이사 파미가,데미안 비쉬어,보니 아론스,샬롯 호프,조니 코인",991,1172,1011580
더 스퀘어, 2018.08.02,3,루벤 외스틀룬드,"클라에스 방,엘리자베스 모스,도미닉 웨스트,테리 노터리,크리스토퍼 레소",12,14,16764
더 포리너, 2018.02.07,6,마틴 캠벨,"성룡,피어스 브로스넌,마이클 맥엘하튼,올라 브러디,로리 플렉-바이른",708,252,41054
더 포스트, 2018.02.28,6,스티븐 스필버그,"메릴 스트립,톰 행크스,밥 오덴커크,매튜 리즈,브루스 그린우드",501,324,137841
더 프레데터, 2018.09.12,5,셰인 블랙,"보이드 홀브룩,올리비아 문,트래반트 로즈,스털링 K. 브라운,제이콥 트렘블레이",363,117,170878
덕구, 2018.04.05,2,방수인,"이순재,정지훈,장광,성병숙,차순배",113,73,314283
데드풀 2, 2018.05.16,2,데이빗 레이치,"라이언 레이놀즈,조슈 브롤린,재지 비츠,모레나 바카린,브리아나 힐데브란드",3278,2672,3784630
데자뷰, 2018.05.30,2,고경민,"이천희,남규리,이규한,동현배,정은성",968,119,778364
독전, 2018.05.22,2,이해영,"조진웅,류준열,김주혁,김성령,박해준",7147,3044,5063620
램페이지, 2018.04.12,2,브래드 페이튼,"드웨인 존슨,제프리 딘 모건,나오미 해리스,말린 애커맨,조 맨가니엘로",591,637,1385517
레드 스패로, 2018.02.28,6,프란시스 로렌스,"제니퍼 로렌스,조엘 에저튼,마티아스 쇼에나에츠,샬롯 램플링,메리 루이스 파커",138,116,108344
레디 플레이어 원, 2018.03.28,2,스티븐 스필버그,"마크 라이런스,사이먼 페그,올리비아 쿡,타이 쉐리던,벤 멘델슨",3044,1282,2254442
레슬러, 2018.05.09,2,김대웅,"유해진,김민재,이성경,나문희,성동일",535,192,771159
레오나르도 다 빈치, 2018.04.26,2,세르지오 맨피오,"김명준,사문영,이경태,민아,석승훈",741,456,64655
레이디 버드, 2018.04.04,2,그레타 거윅,"시얼샤 로넌,로리 멧칼프,트레이시 레츠,루카스 헤지스,티모시 샬라메",181,131,101781
로건 럭키, 2018.03.14,2,스티븐 소더버그,"채닝 테이텀,아담 드라이버,다니엘 크레이그,세스 맥팔레인,라일리 코프",146,220,23339
마야2, 2018.02.01,6,노엘 클리어리,"김서영,김명준,김소희,임채헌,윤세웅",20,28,97078
마일 22, 2018.08.23,3,피터 버그,"마크 월버그,로렌 코핸,이코 우웨이스,론다 로우지,존 말코비치",231,50,69835
마징가 Z: 인피니티, 2018.05.17,2,시미즈 준지,"모리쿠보 쇼타로,카야노 아이,우에사카 스미레,세키 토시히코",19,36,22407
막달라 마리아: 부활의 증인, 2018.03.28,2,가스 데이비스,"루니 마라,호아킨 피닉스,치웨텔 에지오포,타하르 라힘,아리안 라베드",31,24,30833
맘마미아!2, 2018.08.08,3,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인",3665,1584,2293795
매직빈, 2018.05.03,2,조이 주,"황창영,민아,장병관",33,56,57009
명당, 2018.09.19,5,박희곤,"조승우,지성,김성균,문채원,유재명",988,1587,2085695
명탐정 코난 : 제로의 집행인, 2018.08.08,3,타치카와 유즈루,"타카야마 미나미,야마자키 와카나,코야마 리키야,후루야 토오루,챠후린",278,392,396230
목격자, 2018.08.15,3,조규장,"이성민,김상호,진경,곽시양,배정화",3193,1236,2524634
무법자, 2018.04.17,2,르네 페르즈,"코너 트리니어,로버트 코롤럭,나디아 랑프랑코니,존 웰쉬,찰리 글랙킨",427,185,160734
물괴, 2018.09.12,5,허종호,"김명민,김인권,혜리,최우식,이경영",10528,3629,723951
미니특공대X, 2018.03.22,2,이영준,"엄상현,전태열,이소영,신용우",132,107,100093
미드나잇 선, 2018.06.21,3,스콧 스피어,"벨라 손,패트릭 슈왈제네거,롭 리글,퀸 쉐퍼드,니콜라스 쿰베",133,345,326086
미션 임파서블: 폴아웃, 2018.07.25,3,크리스토퍼 맥쿼리,"톰 크루즈,헨리 카빌,사이먼 페그,레베카 퍼거슨,빙 라메스",1885,2520,6584919
버닝, 2018.05.17,2,이창동,"유아인,스티븐 연,전종서,김수경,최승호",269,515,528168
